Teams,23 payroll,22 payroll,21 payroll,20 payroll,City Population,media market size,Team valuation (in millions) ,23 attendence/g ,22 attendence/g ,21 attendence/g 
Arizona Diamondbacks,119257651.00,85964090.00,91632929.00,65598752.00,5015678.00,2174000.00,1380.00,24212.00,19817.00,12877.00
Atlanta Braves,206239131.00,179938888.00,152753755.00,63561931.00,6222106.00,2737000.00,2600.00,39401.00,38641.00,28746.00
Baltimore Orioles,71061047.00,44888388.00,42421870.00,23478635.00,2835672.00,1162000.00,1713.00,23911.00,16893.00,9793.00
Boston Red Sox,182926796.00,211812131.00,187100784.00,84210390.00,4900550.00,2606000.00,4500.00,32989.00,32409.00,21300.00
Chicago Cubs,188909358.00,151054737.00,144037170.00,86596171.00,9441957.00,3649000.00,4100.00,34261.00,32306.00,24431.00
Chicago White Sox,162863836.00,203205326.00,140926169.00,53665251.00,9441957.00,3649000.00,2050.00,20613.00,24807.00,19708.00
Cincinnati Reds,96577288.00,115467321.00,126587447.00,55535890.00,2265051.00,940000.00,1190.00,25164.00,17232.00,18581.00
Cleveland Guardians,91861627.00,66477492.00,50670534.00,39299107.00,2063132.00,1553000.00,1300.00,22643.00,15998.00,13758.00
Colorado Rockies,171026607.00,140012218.00,116408966.00,67808533.00,2985871.00,1787000.00,1475.00,32197.00,32067.00,23934.00
Detroit Tigers,121494514.00,136287588.00,86348945.00,43164880.00,4345761.00,1930000.00,1450.00,19912.00,19214.00,13613.00
Houston Astros,237107748.00,183791796.00,194222042.00,82890957.00,7340118.00,2773000.00,2250.00,37683.00,33198.00,25537.00
Kansas City Royals,96083853.00,92613711.00,91595545.00,34812194.00,2209494.00,1019000.00,1200.00,16136.00,15774.00,14316.00
Los Angeles Angels,230534276.00,179877811.00,183849560.00,67040893.00,12872322.00,5905000.00,2700.00,32600.00,30339.00,18484.00
Los Angeles Dodgers,240278296.00,270381426.00,265343390.00,124917397.00,12872322.00,5905000.00,4800.00,47371.00,47672.00,34626.00
Miami Marlins,105435809.00,82954422.00,58157900.00,34222260.00,6139340.00,1737000.00,1000.00,14356.00,11204.00,7934.00
Milwaukee Brewers,125338345.00,130769325.00,99377415.00,41434086.00,1559792.00,932000.00,1605.00,31498.00,29906.00,22522.00
Minnesota Twins,156104540.00,149030158.00,120084606.00,55679689.00,3693729.00,1862000.00,1390.00,24372.00,22236.00,16175.00
New York Mets,343605067.00,268292506.00,201189189.00,81945598.00,19617869.00,7595000.00,2900.00,31772.00,31663.00,18666.00
New York Yankees,278651150.00,252957200.00,205669863.00,111939081.00,19617869.00,7595000.00,7100.00,40358.00,38719.00,24196.00
Oakland Athletics,62243227.00,48443900.00,90400598.00,36720178.00,4579599.00,2520000.00,1180.00,10276.00,9849.00,8660.00
Philadelphia Phillies,245419295.00,244484097.00,197513223.00,73543547.00,6241164.00,3177000.00,2575.00,37686.00,28108.00,18715.00
Pittsburgh Pirates,75695975.00,56184032.00,54356609.00,25337837.00,2349172.00,1165000.00,1320.00,20131.00,15524.00,10611.00
San Diego Padres,256045688.00,224511694.00,179764272.00,73097954.00,3276208.00,1123000.00,1750.00,40390.00,36882.00,27061.00
San Francisco Giants,187398165.00,162453046.00,171890308.00,73408817.00,4579599.00,2520000.00,3700.00,30866.00,30650.00,20734.00
Seattle Mariners,127966903.00,115838907.00,83822113.00,51433829.00,4034248.00,2071000.00,2200.00,33215.00,28238.00,15012.00
St. Louis Cardinals,153793028.00,156428325.00,151469994.00,73246343.00,2801319.00,1285000.00,2550.00,40013.00,40994.00,25957.00
Tampa Bay Rays,79354272.00,98342073.00,70836327.00,28290689.00,3290730.00,2143000.00,1250.00,17781.00,13927.00,9396.00
Texas Rangers,251332754.00,150037446.00,95788819.00,64214137.00,7943685.00,3130000.00,2225.00,31272.00,24832.00,26053.00
Toronto Blue Jays,214630885.00,177013980.00,150140253.00,54997060.00,6685621.00,3038000.00,2100.00,37307.00,32763.00,10074.00
Washington Nationals,93378663.00,126809535.00,144415187.00,75067703.00,6373756.00,2578000.00,2000.00,23035.00,25017.00,18093.00
